iter	Passed	Remaining
0	1	1837
1	3	1708
2	4	1636
3	6	1593
4	8	1600
5	9	1585
6	11	1581
7	13	1613
8	14	1613
9	16	1590
10	17	1571
11	18	1555
12	20	1544
13	22	1559
14	23	1558
15	25	1577
16	27	1607
17	29	1636
18	31	1635
19	33	1654
20	35	1671
21	37	1679
22	39	1672
23	41	1669
24	42	1664
25	44	1662
26	46	1659
27	47	1654
28	49	1645
29	50	1640
30	52	1634
31	54	1639
32	56	1648
33	57	1645
34	59	1649
35	61	1648
36	63	1641
37	64	1637
38	66	1631
39	67	1628
40	69	1627
41	71	1627
42	73	1626
43	75	1629
44	76	1626
45	78	1619
46	79	1613
47	81	1607
48	82	1601
49	83	1594
50	85	1588
51	86	1581
52	88	1574
53	89	1569
54	91	1565
55	92	1559
56	94	1555
57	95	1544
58	96	1539
59	98	1535
60	100	1541
61	101	1537
62	103	1532
63	104	1528
64	106	1527
65	107	1522
66	108	1517
67	110	1512
68	111	1507
69	113	1503
70	114	1498
71	115	1493
72	117	1489
73	118	1482
74	119	1478
75	121	1474
76	122	1470
77	124	1466
78	125	1462
79	126	1458
80	128	1455
81	129	1451
82	131	1447
83	132	1444
84	133	1440
85	135	1436
86	136	1433
87	138	1430
88	139	1427
89	140	1424
90	142	1421
91	143	1419
92	145	1414
93	146	1411
94	147	1408
95	149	1406
96	150	1403
97	152	1400
98	153	1394
99	154	1391
100	156	1388
101	157	1385
102	158	1383
103	160	1380
104	161	1377
105	162	1374
106	164	1371
107	165	1369
108	167	1366
109	168	1364
110	170	1361
111	171	1358
112	172	1356
113	174	1354
114	175	1351
115	177	1348
116	178	1346
117	179	1344
118	181	1341
119	182	1339
120	184	1337
121	185	1335
122	187	1333
123	188	1331
124	189	1329
125	191	1329
126	193	1328
127	194	1328
128	196	1328
129	197	1324
130	199	1324
131	201	1326
132	203	1327
133	205	1328
134	207	1327
135	208	1326
136	210	1325
137	212	1324
138	213	1324
139	215	1324
140	217	1323
141	218	1322
142	220	1323
143	222	1323
144	224	1322
145	225	1321
146	227	1320
147	229	1320
